LogID,EmployeeID,CourseName,Status,CompletionDate
900001,1,Cyber Security Essentials 2024,Overdue,
900002,2,Cyber Security Essentials 2024,Completed,2025-11-06
900003,3,Cyber Security Essentials 2024,Overdue,
900004,4,Cyber Security Essentials 2024,Overdue,
900005,5,Cyber Security Essentials 2024,Completed,2025-04-04
900006,6,Cyber Security Essentials 2024,Completed,2026-02-03
900007,7,Cyber Security Essentials 2024,Completed,2025-09-07
900008,8,Cyber Security Essentials 2024,Completed,2025-09-29
900009,9,Cyber Security Essentials 2024,Completed,2026-01-10
900010,10,Cyber Security Essentials 2024,Completed,2025-05-25
900011,11,Cyber Security Essentials 2024,Completed,2025-05-12
900012,12,Cyber Security Essentials 2024,Completed,2025-10-23
900013,13,Cyber Security Essentials 2024,Completed,2025-07-24
900014,14,Cyber Security Essentials 2024,Completed,2025-09-11
900015,15,Cyber Security Essentials 2024,Completed,2025-04-21
900016,16,Cyber Security Essentials 2024,Completed,2025-07-08
900017,17,Cyber Security Essentials 2024,Completed,2026-02-03
900018,18,Cyber Security Essentials 2024,Completed,2025-05-07
900019,19,Cyber Security Essentials 2024,Completed,2025-10-06
900020,20,Cyber Security Essentials 2024,Overdue,
900021,21,Cyber Security Essentials 2024,Completed,2025-04-23
900022,22,Cyber Security Essentials 2024,In Progress,
900023,23,Cyber Security Essentials 2024,In Progress,
900024,24,Cyber Security Essentials 2024,Completed,2025-04-07
900025,25,Cyber Security Essentials 2024,Completed,2025-11-01
900026,26,Cyber Security Essentials 2024,Completed,2025-05-20
900027,27,Cyber Security Essentials 2024,In Progress,
900028,28,Cyber Security Essentials 2024,Completed,2025-11-29
900029,29,Cyber Security Essentials 2024,Completed,2025-06-08
900030,30,Cyber Security Essentials 2024,Completed,2025-06-24
900031,31,Cyber Security Essentials 2024,Completed,2026-03-12
900032,32,Cyber Security Essentials 2024,Completed,2026-01-06
900033,33,Cyber Security Essentials 2024,Completed,2026-03-10
900034,34,Cyber Security Essentials 2024,Completed,2025-09-24
900035,35,Cyber Security Essentials 2024,Completed,2025-10-15
900036,36,Cyber Security Essentials 2024,Completed,2025-12-22
900037,37,Cyber Security Essentials 2024,In Progress,
900038,38,Cyber Security Essentials 2024,Completed,2026-03-24
900039,39,Cyber Security Essentials 2024,Completed,2026-01-17
900040,40,Cyber Security Essentials 2024,Completed,2026-03-20
900041,41,Cyber Security Essentials 2024,Completed,2025-08-27
900042,42,Cyber Security Essentials 2024,Completed,2025-08-13
900043,43,Cyber Security Essentials 2024,Completed,2025-08-09
900044,44,Cyber Security Essentials 2024,Completed,2025-08-06
900045,45,Cyber Security Essentials 2024,Completed,2025-11-04
900046,46,Cyber Security Essentials 2024,Completed,2025-04-02
900047,47,Cyber Security Essentials 2024,Completed,2025-09-29
900048,48,Cyber Security Essentials 2024,In Progress,
900049,49,Cyber Security Essentials 2024,Completed,2026-01-27
900050,50,Cyber Security Essentials 2024,Completed,2026-03-11
900051,51,Cyber Security Essentials 2024,Completed,2025-07-25
900052,52,Cyber Security Essentials 2024,Completed,2025-06-18
900053,53,Cyber Security Essentials 2024,Completed,2025-11-24
900054,54,Cyber Security Essentials 2024,In Progress,
900055,55,Cyber Security Essentials 2024,Completed,2025-10-19
900056,56,Cyber Security Essentials 2024,In Progress,
900057,57,Cyber Security Essentials 2024,In Progress,
900058,58,Cyber Security Essentials 2024,Completed,2025-04-07
900059,59,Cyber Security Essentials 2024,Completed,2025-08-19
900060,60,Cyber Security Essentials 2024,Completed,2025-11-29
900061,61,Cyber Security Essentials 2024,Completed,2026-01-31
900062,62,Cyber Security Essentials 2024,Completed,2025-11-22
900063,63,Cyber Security Essentials 2024,Completed,2026-03-14
900064,64,Cyber Security Essentials 2024,Completed,2025-05-31
900065,65,Cyber Security Essentials 2024,Completed,2025-04-12
900066,66,Cyber Security Essentials 2024,Completed,2025-12-06
900067,67,Cyber Security Essentials 2024,In Progress,
900068,68,Cyber Security Essentials 2024,Completed,2025-05-12
900069,69,Cyber Security Essentials 2024,Completed,2025-05-20
900070,70,Cyber Security Essentials 2024,Completed,2025-11-24
900071,71,Cyber Security Essentials 2024,Overdue,
900072,72,Cyber Security Essentials 2024,Completed,2026-02-12
900073,73,Cyber Security Essentials 2024,Completed,2025-12-24
900074,74,Cyber Security Essentials 2024,Completed,2025-04-04
900075,75,Cyber Security Essentials 2024,Completed,2025-09-12
900076,76,Cyber Security Essentials 2024,Completed,2025-12-27
900077,77,Cyber Security Essentials 2024,Completed,2025-09-20
900078,78,Cyber Security Essentials 2024,Overdue,
900079,79,Cyber Security Essentials 2024,In Progress,
900080,80,Cyber Security Essentials 2024,Completed,2025-12-08
900081,81,Cyber Security Essentials 2024,Completed,2025-08-12
900082,82,Cyber Security Essentials 2024,Completed,2025-11-29
900083,83,Cyber Security Essentials 2024,Completed,2025-10-02
900084,84,Cyber Security Essentials 2024,Completed,2025-12-05
900085,85,Cyber Security Essentials 2024,In Progress,
900086,86,Cyber Security Essentials 2024,Overdue,
900087,87,Cyber Security Essentials 2024,In Progress,
900088,88,Cyber Security Essentials 2024,Completed,2025-10-12
900089,89,Cyber Security Essentials 2024,In Progress,
900090,90,Cyber Security Essentials 2024,Completed,2025-11-05
900091,91,Cyber Security Essentials 2024,Completed,2026-01-29
900092,92,Cyber Security Essentials 2024,In Progress,
900093,93,Cyber Security Essentials 2024,Completed,2025-10-22
900094,94,Cyber Security Essentials 2024,Completed,2025-09-25
900095,95,Cyber Security Essentials 2024,Completed,2025-11-21
900096,96,Cyber Security Essentials 2024,Completed,2025-10-22
900097,97,Cyber Security Essentials 2024,In Progress,
900098,98,Cyber Security Essentials 2024,Completed,2026-01-16
900099,99,Cyber Security Essentials 2024,In Progress,
900100,100,Cyber Security Essentials 2024,Completed,2025-06-17
900101,101,Cyber Security Essentials 2024,Completed,2025-09-29
900102,102,Cyber Security Essentials 2024,Completed,2025-09-06
900103,103,Cyber Security Essentials 2024,Completed,2025-09-08
900104,104,Cyber Security Essentials 2024,Completed,2025-04-06
900105,105,Cyber Security Essentials 2024,Completed,2025-06-26
900106,106,Cyber Security Essentials 2024,Completed,2025-03-29
900107,107,Cyber Security Essentials 2024,Completed,2025-11-23
900108,108,Cyber Security Essentials 2024,Overdue,
900109,109,Cyber Security Essentials 2024,In Progress,
900110,110,Cyber Security Essentials 2024,Completed,2025-05-19
900111,111,Cyber Security Essentials 2024,Completed,2025-09-06
900112,112,Cyber Security Essentials 2024,In Progress,
900113,113,Cyber Security Essentials 2024,Completed,2025-04-26
